timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,attack_type
1743660662.661019,192.168.216.214,192.168.1.1,TCP,32631,80,380,TCP-SYN Flood
1743660662.6611414,192.168.14.110,192.168.1.1,TCP,2961,80,751,TCP-RST Flood
1743660662.661152,192.168.194.208,192.168.1.1,TCP,53771,80,749,TCP-FIN Flood
1743660662.661161,192.168.1.35,192.168.1.1,TCP,44567,80,1127,TCP-ACK Flood
1743660662.6611674,192.168.12.192,192.168.1.1,UDP,50895,53,332,UDP Flood
1743660662.6611753,192.168.40.183,192.168.1.1,UDP,65328,53,857,UDP Flood
1743660662.6611826,192.168.53.179,192.168.1.1,TCP,49800,80,724,TCP-ACK Flood
1743660662.6611967,192.168.164.168,192.168.1.1,UDP,12789,53,458,UDP Flood
1743660662.6612048,192.168.44.155,192.168.1.1,TCP,34562,80,1179,TCP-SYN Flood
1743660662.66121,192.168.116.249,192.168.1.1,TCP,55810,80,1029,TCP-ACK Flood
1743660662.6612139,192.168.166.164,192.168.1.1,TCP,64033,80,366,TCP-RST Flood
1743660662.6612177,192.168.112.109,192.168.1.1,UDP,52363,53,351,UDP Flood
1743660662.661221,192.168.161.11,192.168.1.1,UDP,8001,53,1260,UDP Flood
1743660662.661237,192.168.180.79,192.168.1.1,UDP,22162,53,149,UDP Flood
1743660662.6612434,192.168.23.212,192.168.1.1,TCP,43940,80,602,TCP-FIN Flood
1743660662.661249,192.168.192.93,192.168.1.1,UDP,7540,53,1208,UDP Flood
1743660662.6612542,192.168.70.8,192.168.1.1,UDP,62460,53,598,UDP Flood
1743660662.6612604,192.168.212.63,192.168.1.1,TCP,28341,80,640,TCP-FIN Flood
1743660662.6612668,192.168.61.159,192.168.1.1,UDP,45362,53,630,UDP Flood
1743660662.661272,192.168.78.209,192.168.1.1,UDP,40310,53,1437,UDP Flood
1743660662.6612785,192.168.203.169,192.168.1.1,TCP,3861,80,670,TCP-RST Flood
1743660662.661282,192.168.135.14,192.168.1.1,UDP,34028,53,671,UDP Flood
1743660662.6612856,192.168.184.199,192.168.1.1,UDP,16280,53,947,UDP Flood
1743660662.6612897,192.168.154.76,192.168.1.1,TCP,29000,80,1461,TCP-RST Flood
1743660662.661293,192.168.188.212,192.168.1.1,UDP,58288,53,454,UDP Flood
1743660662.6612973,192.168.133.216,192.168.1.1,TCP,42256,80,744,TCP-SYN Flood
1743660662.6613004,192.168.95.9,192.168.1.1,UDP,57037,53,584,UDP Flood
1743660662.6613038,192.168.119.237,192.168.1.1,UDP,26223,53,1473,UDP Flood
1743660662.6613073,192.168.159.93,192.168.1.1,UDP,40535,53,447,UDP Flood
1743660662.6613107,192.168.20.113,192.168.1.1,UDP,16133,53,1265,UDP Flood
1743660662.6613145,192.168.59.46,192.168.1.1,TCP,2414,80,452,TCP-SYN Flood
1743660662.6613183,192.168.205.29,192.168.1.1,TCP,59199,80,1007,TCP-RST Flood
1743660662.6613295,192.168.51.177,192.168.1.1,TCP,23981,80,510,TCP-RST Flood
1743660662.6613336,192.168.73.90,192.168.1.1,UDP,11355,53,1030,UDP Flood
1743660662.661337,192.168.142.104,192.168.1.1,UDP,15455,53,1139,UDP Flood
1743660662.661341,192.168.202.30,192.168.1.1,UDP,63338,53,1261,UDP Flood
1743660662.661345,192.168.108.134,192.168.1.1,TCP,34378,80,590,TCP-FIN Flood
1743660662.661349,192.168.57.68,192.168.1.1,TCP,13711,80,396,TCP-FIN Flood
1743660662.6613526,192.168.141.60,192.168.1.1,TCP,44858,80,204,TCP-SYN Flood
1743660662.661356,192.168.236.218,192.168.1.1,UDP,50302,53,906,UDP Flood
1743660662.66136,192.168.38.112,192.168.1.1,TCP,36932,80,211,TCP-RST Flood
1743660662.661364,192.168.91.241,192.168.1.1,UDP,47631,53,772,UDP Flood
1743660662.6613672,192.168.46.155,192.168.1.1,UDP,6090,53,924,UDP Flood
1743660662.6613712,192.168.136.56,192.168.1.1,TCP,9420,80,238,TCP-FIN Flood
1743660662.6613746,192.168.6.111,192.168.1.1,UDP,13026,53,328,UDP Flood
1743660662.6613784,192.168.5.72,192.168.1.1,UDP,26170,53,273,UDP Flood
1743660662.6613822,192.168.193.224,192.168.1.1,TCP,49746,80,510,TCP-SYN Flood
1743660662.661386,192.168.141.167,192.168.1.1,TCP,5521,80,769,TCP-FIN Flood
1743660662.6613936,192.168.159.23,192.168.1.1,TCP,33704,80,1006,TCP-SYN Flood
1743660662.6613975,192.168.166.188,192.168.1.1,TCP,64437,80,790,TCP-ACK Flood
1743660662.6614046,192.168.253.119,192.168.1.1,TCP,1182,80,404,TCP-SYN Flood
1743660662.661408,192.168.156.140,192.168.1.1,UDP,61116,53,1343,UDP Flood
1743660662.6614115,192.168.21.1,192.168.1.1,UDP,34461,53,1445,UDP Flood
1743660662.6614165,192.168.161.178,192.168.1.1,TCP,65409,80,467,TCP-FIN Flood
1743660662.6614203,192.168.1.34,192.168.1.1,TCP,20697,80,371,TCP-FIN Flood
1743660662.661424,192.168.107.158,192.168.1.1,TCP,14963,80,216,TCP-ACK Flood
1743660662.6614277,192.168.74.73,192.168.1.1,TCP,2780,80,762,TCP-RST Flood
1743660662.6614313,192.168.4.236,192.168.1.1,TCP,17635,80,1096,TCP-SYN Flood
1743660662.6614351,192.168.244.162,192.168.1.1,TCP,14336,80,140,TCP-RST Flood
1743660662.661439,192.168.47.239,192.168.1.1,TCP,45982,80,829,TCP-RST Flood
